Instance,Makespan,all_time,solve_time
"JobShopInstance(name=Ta31_F.txt, num_jobs=30, num_machines=15)",4667.0,0.009796619415283203,0.010662555694580078
"JobShopInstance(name=Ta29_F.txt, num_jobs=20, num_machines=20)",4745.0,0.006542205810546875,0.00728154182434082
"JobShopInstance(name=Ta07_F.txt, num_jobs=15, num_machines=15)",2974.0,0.0030808448791503906,0.003479480743408203
"JobShopInstance(name=S10.1.txt, num_jobs=10, num_machines=10)",222.75,0.0010390281677246094,0.0012333393096923828
"JobShopInstance(name=ABZ9_F.txt, num_jobs=20, num_machines=15)",1557.0,0.004904985427856445,0.005795955657958984
"JobShopInstance(name=LP01.txt, num_jobs=16, num_machines=16)",564.25,0.0034537315368652344,0.003926515579223633
"JobShopInstance(name=LA13_G.txt, num_jobs=20, num_machines=5)",1733.0,0.0014634132385253906,0.0016734600067138672
"JobShopInstance(name=FT06_L.txt, num_jobs=6, num_machines=6)",87.5,0.0002830028533935547,0.0003731250762939453
"JobShopInstance(name=Ta62_F.txt, num_jobs=50, num_machines=20)",9875.0,0.033217668533325195,0.0349578857421875
"JobShopInstance(name=Ta19_F.txt, num_jobs=20, num_machines=15)",4107.0,0.004929304122924805,0.00549006462097168
"JobShopInstance(name=FT20_G.txt, num_jobs=20, num_machines=5)",1805.5,0.0014295578002929688,0.0016372203826904297
"JobShopInstance(name=ABZ8_F.txt, num_jobs=20, num_machines=15)",1458.0,0.004817962646484375,0.0053861141204833984
"JobShopInstance(name=Ta66_F.txt, num_jobs=50, num_machines=20)",9108.0,0.03369331359863281,0.03575873374938965
"JobShopInstance(name=Ta12_F.txt, num_jobs=20, num_machines=15)",3989.0,0.0050013065338134766,0.00558018684387207
"JobShopInstance(name=Ta73_F.txt, num_jobs=100, num_machines=20)",14415.0,0.12491726875305176,0.12861967086791992
"JobShopInstance(name=Ta46_F.txt, num_jobs=30, num_machines=20)",6175.0,0.013000726699829102,0.014072418212890625
"JobShopInstance(name=LA19_S.txt, num_jobs=10, num_machines=10)",1385.5,0.001033782958984375,0.001241922378540039
"JobShopInstance(name=Ta40_F.txt, num_jobs=30, num_machines=15)",3619.0,0.00990438461303711,0.010686397552490234
